Experiment No,Location,Date,Injection time,End time,Salt mass [g],145,49,309,Q1,Q2,Q3,t1,t2,t3
1,Lake,20.08.2025,11:49:00,11:59:00,3000.0,x,x,x,0.88,0.83,NaN,125.0,85.0,NaN
2,UpperStream,20.08.2025,15:05:00,15:15:00,40.0,x,x,x,0.012,0.014,NaN,44.0,98.0,NaN
3,Lake,21.08.2025,09:50:00,10:00:00,2000.0,x,x,x,1.0,1.0,NaN,93.0,120.0,NaN
4,SmallStream,21.08.2025,11:18:00,11:48:00,10.0,x,x,x,6.1e-5,0.00012,NaN,374.0,613.0,NaN
5,SmallStream,21.08.2025,12:07:00,12:37:00,10.0,x,x,x,7.9e-5,0.00015,NaN,266.0,411.0,NaN
6,UpperStream,21.08.2025,14:25:00,14:35:00,40.0,x,x,x,0.012,0.014,NaN,41.0,89.0,NaN
7,Lake,22.08.2025,08:55:00,09:05:00,3000.0,x,x,x,1.2,1.1,NaN,115.0,89.0,NaN
8,SmallStream,22.08.2025,10:51:00,11:01:00,10.0,x,x,x,7.4e-5,0.00014,NaN,67.0,171.0,NaN
9,SmallStream,22.08.2025,12:05:00,12:15:00,10.0,x,x,x,0.0002,0.00029,NaN,36.0,106.0,NaN
10,SmallStream,22.08.2025,13:11:00,13:21:00,10.0,x,x,x,0.00021,0.00043,NaN,96.0,159.0,NaN
11,SmallStream,22.08.2025,14:13:00,14:23:00,10.0,x,x,x,0.00019,0.00042,NaN,36.0,110.0,NaN
12,UpperStream,22.08.2025,15:41:00,15:51:00,40.0,x,x,x,0.023,0.026,NaN,108.0,147.0,NaN
13,Lake,22.08.2025,17:20:00,17:30:00,2000.0,x,x,x,1.8,1.5,NaN,49.0,72.0,NaN
14,UpperStream,23.08.2025,09:42:00,10:12:00,40.0,x,x,x,0.00039,0.0005,NaN,412.0,887.0,NaN
