"Datum & Zeit","Abfluss (m³/s)","Pegel (müM)"
"2025-07-31T22:00:00.000Z","3.21","1756.405"
"2025-07-31T22:05:00.000Z","3.191","1756.404"
"2025-07-31T22:10:00.000Z","3.21","1756.405"
"2025-07-31T22:15:00.000Z","3.21","1756.405"
"2025-07-31T22:20:00.000Z","3.171","1756.403"
"2025-07-31T22:25:00.000Z","3.191","1756.404"
"2025-07-31T22:30:00.000Z","3.191","1756.404"
"2025-07-31T22:35:00.000Z","3.191","1756.404"
"2025-07-31T22:40:00.000Z","3.191","1756.404"
"2025-07-31T22:45:00.000Z","3.21","1756.405"
"2025-07-31T22:50:00.000Z","3.23","1756.406"
"2025-07-31T22:55:00.000Z","3.249","1756.407"
"2025-07-31T23:00:00.000Z","3.21","1756.405"
"2025-07-31T23:05:00.000Z","3.21","1756.405"
"2025-07-31T23:10:00.000Z","3.23","1756.406"
"2025-07-31T23:15:00.000Z","3.23","1756.406"
"2025-07-31T23:20:00.000Z","3.269","1756.408"
"2025-07-31T23:25:00.000Z","3.23","1756.406"
"2025-07-31T23:30:00.000Z","3.249","1756.407"
"2025-07-31T23:35:00.000Z","3.249","1756.407"
"2025-07-31T23:40:00.000Z","3.21","1756.405"
"2025-07-31T23:45:00.000Z","3.21","1756.405"
"2025-07-31T23:50:00.000Z","3.269","1756.408"
"2025-07-31T23:55:00.000Z","3.21","1756.405"
"2025-08-01T00:00:00.000Z","3.191","1756.404"
"2025-08-01T00:05:00.000Z","3.249","1756.407"
"2025-08-01T00:10:00.000Z","3.21","1756.405"
"2025-08-01T00:15:00.000Z","3.21","1756.405"
"2025-08-01T00:20:00.000Z","3.23","1756.406"
"2025-08-01T00:25:00.000Z","3.23","1756.406"
"2025-08-01T00:30:00.000Z","3.23","1756.406"
"2025-08-01T00:35:00.000Z","3.191","1756.404"
"2025-08-01T00:40:00.000Z","3.21","1756.405"
"2025-08-01T00:45:00.000Z","3.21","1756.405"
"2025-08-01T00:50:00.000Z","3.21","1756.405"
"2025-08-01T00:55:00.000Z","3.191","1756.404"
"2025-08-01T01:00:00.000Z","3.132","1756.401"
"2025-08-01T01:05:00.000Z","3.21","1756.405"
"2025-08-01T01:10:00.000Z","3.152","1756.402"
"2025-08-01T01:15:00.000Z","3.152","1756.402"
"2025-08-01T01:20:00.000Z","3.21","1756.405"
"2025-08-01T01:25:00.000Z","3.21","1756.405"
"2025-08-01T01:30:00.000Z","3.21","1756.405"
"2025-08-01T01:35:00.000Z","3.23","1756.406"
"2025-08-01T01:40:00.000Z","3.249","1756.407"
"2025-08-01T01:45:00.000Z","3.23","1756.406"
"2025-08-01T01:50:00.000Z","3.269","1756.408"
"2025-08-01T01:55:00.000Z","3.288","1756.409"
"2025-08-01T02:00:00.000Z","3.288","1756.409"
"2025-08-01T02:05:00.000Z","3.308","1756.41"
"2025-08-01T02:10:00.000Z","3.328","1756.411"
"2025-08-01T02:15:00.000Z","3.328","1756.411"
"2025-08-01T02:20:00.000Z","3.288","1756.409"
"2025-08-01T02:25:00.000Z","3.308","1756.41"
"2025-08-01T02:30:00.000Z","3.288","1756.409"
"2025-08-01T02:35:00.000Z","3.348","1756.412"
"2025-08-01T02:40:00.000Z","3.328","1756.411"
"2025-08-01T02:45:00.000Z","3.348","1756.412"
"2025-08-01T02:50:00.000Z","3.367","1756.413"
"2025-08-01T02:55:00.000Z","3.288","1756.409"
"2025-08-01T03:00:00.000Z","3.407","1756.415"
"2025-08-01T03:05:00.000Z","3.348","1756.412"
"2025-08-01T03:10:00.000Z","3.328","1756.411"
"2025-08-01T03:15:00.000Z","3.367","1756.413"
"2025-08-01T03:20:00.000Z","3.367","1756.413"
"2025-08-01T03:25:00.000Z","3.367","1756.413"
"2025-08-01T03:30:00.000Z","3.348","1756.412"
"2025-08-01T03:35:00.000Z","3.387","1756.414"
"2025-08-01T03:40:00.000Z","3.367","1756.413"
"2025-08-01T03:45:00.000Z","3.348","1756.412"
"2025-08-01T03:50:00.000Z","3.328","1756.411"
"2025-08-01T03:55:00.000Z","3.328","1756.411"
"2025-08-01T04:00:00.000Z","3.328","1756.411"
"2025-08-01T04:05:00.000Z","3.367","1756.413"
"2025-08-01T04:10:00.000Z","3.328","1756.411"
"2025-08-01T04:15:00.000Z","3.328","1756.411"
"2025-08-01T04:20:00.000Z","3.328","1756.411"
"2025-08-01T04:25:00.000Z","3.348","1756.412"
"2025-08-01T04:30:00.000Z","3.328","1756.411"
"2025-08-01T04:35:00.000Z","3.308","1756.41"
"2025-08-01T04:40:00.000Z","3.249","1756.407"
"2025-08-01T04:45:00.000Z","3.288","1756.409"
"2025-08-01T04:50:00.000Z","3.328","1756.411"
"2025-08-01T04:55:00.000Z","3.269","1756.408"
"2025-08-01T05:00:00.000Z","3.249","1756.407"
"2025-08-01T05:05:00.000Z","3.269","1756.408"
"2025-08-01T05:10:00.000Z","3.23","1756.406"
"2025-08-01T05:15:00.000Z","3.23","1756.406"
"2025-08-01T05:20:00.000Z","3.191","1756.404"
"2025-08-01T05:25:00.000Z","3.191","1756.404"
"2025-08-01T05:30:00.000Z","3.21","1756.405"
"2025-08-01T05:35:00.000Z","3.171","1756.403"
"2025-08-01T05:40:00.000Z","3.171","1756.403"
"2025-08-01T05:45:00.000Z","3.23","1756.406"
"2025-08-01T05:50:00.000Z","3.132","1756.401"
"2025-08-01T05:55:00.000Z","3.171","1756.403"
"2025-08-01T06:00:00.000Z","3.171","1756.403"
"2025-08-01T06:05:00.000Z","3.132","1756.401"
"2025-08-01T06:10:00.000Z","3.094","1756.399"
"2025-08-01T06:15:00.000Z","3.075","1756.398"
"2025-08-01T06:20:00.000Z","3.113","1756.4"
"2025-08-01T06:25:00.000Z","3.113","1756.4"
"2025-08-01T06:30:00.000Z","3.037","1756.396"
"2025-08-01T06:35:00.000Z","3.094","1756.399"
"2025-08-01T06:40:00.000Z","3.037","1756.396"
"2025-08-01T06:45:00.000Z","3.017","1756.395"
"2025-08-01T06:50:00.000Z","2.998","1756.394"
"2025-08-01T06:55:00.000Z","2.998","1756.394"
"2025-08-01T07:00:00.000Z","2.998","1756.394"
"2025-08-01T07:05:00.000Z","3.017","1756.395"
"2025-08-01T07:10:00.000Z","2.998","1756.394"
"2025-08-01T07:15:00.000Z","2.979","1756.393"
"2025-08-01T07:20:00.000Z","2.941","1756.391"
"2025-08-01T07:25:00.000Z","2.922","1756.39"
"2025-08-01T07:30:00.000Z","2.885","1756.388"
"2025-08-01T07:35:00.000Z","2.866","1756.387"
"2025-08-01T07:40:00.000Z","2.866","1756.387"
"2025-08-01T07:45:00.000Z","2.866","1756.387"
"2025-08-01T07:50:00.000Z","2.885","1756.388"
"2025-08-01T07:55:00.000Z","2.866","1756.387"
"2025-08-01T08:00:00.000Z","2.847","1756.386"
"2025-08-01T08:05:00.000Z","2.81","1756.384"
"2025-08-01T08:10:00.000Z","2.847","1756.386"
"2025-08-01T08:15:00.000Z","2.791","1756.383"
"2025-08-01T08:20:00.000Z","2.81","1756.384"
"2025-08-01T08:25:00.000Z","2.828","1756.385"
"2025-08-01T08:30:00.000Z","2.772","1756.382"
"2025-08-01T08:35:00.000Z","2.772","1756.382"
"2025-08-01T08:40:00.000Z","2.81","1756.384"
"2025-08-01T08:45:00.000Z","2.791","1756.383"
"2025-08-01T08:50:00.000Z","2.772","1756.382"
"2025-08-01T08:55:00.000Z","2.772","1756.382"
"2025-08-01T09:00:00.000Z","2.754","1756.381"
"2025-08-01T09:05:00.000Z","2.772","1756.382"
"2025-08-01T09:10:00.000Z","2.717","1756.379"
"2025-08-01T09:15:00.000Z","2.735","1756.38"
"2025-08-01T09:20:00.000Z","2.717","1756.379"
"2025-08-01T09:25:00.000Z","2.735","1756.38"
"2025-08-01T09:30:00.000Z","2.735","1756.38"
"2025-08-01T09:35:00.000Z","2.735","1756.38"
"2025-08-01T09:40:00.000Z","2.754","1756.381"
"2025-08-01T09:45:00.000Z","2.772","1756.382"
"2025-08-01T09:50:00.000Z","2.791","1756.383"
"2025-08-01T09:55:00.000Z","2.772","1756.382"
"2025-08-01T10:00:00.000Z","2.828","1756.385"
"2025-08-01T10:05:00.000Z","2.828","1756.385"
"2025-08-01T10:10:00.000Z","2.847","1756.386"
"2025-08-01T10:15:00.000Z","2.828","1756.385"
"2025-08-01T10:20:00.000Z","2.885","1756.388"
"2025-08-01T10:25:00.000Z","2.885","1756.388"
"2025-08-01T10:30:00.000Z","2.941","1756.391"
"2025-08-01T10:35:00.000Z","2.96","1756.392"
"2025-08-01T10:40:00.000Z","3.017","1756.395"
"2025-08-01T10:45:00.000Z","3.017","1756.395"
"2025-08-01T10:50:00.000Z","3.056","1756.397"
"2025-08-01T10:55:00.000Z","3.113","1756.4"
"2025-08-01T11:00:00.000Z","3.094","1756.399"
"2025-08-01T11:05:00.000Z","3.132","1756.401"
"2025-08-01T11:10:00.000Z","3.152","1756.402"
"2025-08-01T11:15:00.000Z","3.152","1756.402"
"2025-08-01T11:20:00.000Z","3.152","1756.402"
